id,label,texts
2634,0,"i once burnt my ears on school camp, man that was a nightmare"
1135,0,Jokes on him I had no idea at the time
29,0,I’m chillin just stuck at home like everyone else lol. V boring
2394,0,"alright, wbu?"
2554,1,OH GOD I HAVE ONE OF THOSE
1292,0,The suspense is killing me
2647,0,i don't think so he looks straight
2159,0,did not know that
1290,0,"Theres a decent amount of peolle from the area though, like alpharetta and johns creeks and stuff"
2633,0,"i'm kind of pale, i burn pretty easily"
3338,1,"Oh I certainly do, I love when you toss me around and then stick it in me switching positions"
3078,1,Please don’t forget the right one!
385,1,"you’re pretty cute, I’d hold your hand in public"
691,1,The only thing that’s sweet is you 👀
3391,1,"Go to your index finger and finger and finger, feel yourself inside"
3423,1,Now you're talking
8,0,"Frank, SZA, Harry Styles, Rex Orange County, Giveon"
886,1,Oh damn I thought you were talking about yourself. Knew that couldn't be true tho because you're 11/10 cute
1114,0,I just moved here a couple of months ago for work. I graduated back in May. What are you studying?
3544,1,Make me cum?
437,1,So the marriage is in August?
608,0,Giveon has that sadboi vibes but i swear his music is so touching and so good
3291,1,"Me: Go into the bathroom, take a pic and send it."
2497,0,"palma violets, raglans, national, jack white etc etc"
1504,0,ts1989 was rather well done
1463,0,"doge person, vinyl enthusiast"
1983,0,everything's funny at school
1678,1,my mom bought me a new turntable so i can't really complain 😸
3130,1,Do it!
1682,1,🐶🐶🐶
3202,1,While your other fingers are inside my dripping hole...
753,0,True true quarantine has been so boring
2207,0,😢
3087,1,My clit is on fire! Please can I cum?
1661,0,the tiny ponytail
2337,0,lol lactose is a special little sugar
1164,0,I have a traumatic childhood experience of accidetanlly making a your mom joke to a friend who's mom had died
3155,1,Wow I'm hard now.
3158,1,"I'm sitting with you, on your bed ;)"
2593,0,answer what?
3498,1,and gently lick up and down
3088,1,Only if we can keep going.
3410,1,Did I?
3180,1,Mhmmmmm...
3114,1,Not yet. Mmm. Nice. Tell me something sweet.
662,1,I’ll stay in your bed if I have to
1214,0,Or is it physics 40 that's terrible
1964,0,"nah, you don't look like you'd be very good at it"
1325,0,If it makes you feel any better I havent started applying yet
277,0,How many monsters deep were you
1210,0,What other classes are u looking at?
3056,1,"Yeah, that’s what I’m talking about."
268,0,"What a strange, strange message"
2963,1, I wish we could do laundry together and have a little fun folding clothes and stealing kisses    
675,1,Your waist is fucking SNATCHED
1007,0,Went to college in Providence... so I guess I'm coming from a lot of places
1059,0,What classes are you in right now?
2804,0,a little slave-ish
3444,1,Go slow though
155,1,Cuz it’s mad wet
2607,1,pets? people?
2371,0,google it
1093,0,What sort of reality TV show do you hope to be on?
1810,0,blue and yellow
1337,0,Vdub haul is 7/10. Points were given for seven bananas and variety of food. Points were deducted because box could have had much more food stuffed into it.
3406,1,I feel like something's missing in my life...
341,1,Let’s exchange Spotify playlists and make guesses about each other’s personalities
1303,0,Well your going to have to make up for dating Bailey by dating someone with a normal name like Joseph
3032,1,I think I do but I’d like you to tell me.
1038,1,I bet all your pictures do well with dudes 😎
1391,0,isn't that lederhosen?
3035,1,What are you wearing?
937,0,Damn corona. It could've been worse though. Need to remember to be grateful.
2587,0,um what?
2362,0,norwat
3312,1,Me: I need socks!
3378,1,I want you to grab me and kiss me
429,1,Just added 👀
2380,1,"i don't think anyone cares, outside of myanmar 😜"
541,0,Hmmm maybeee
3148,1,Just a tank top and shorts ;)
552,0,Aw thank you! I like your hair
845,0,Yeah exactly! Measuring KPIs so that what marketing is doing is actually worth it 😂
2322,0,gelatin? idk
1134,0,"Finally, my suspicion has been confirmed"
1515,0,ahh yep
3449,1,I want your cock so bad my pussy is aching
2108,0,i'd like to get into medicine
3044,1,"Way ahead of you, baby. I’ve been squeezing my DD’s when you type."
3131,1,OMG your huge hard dick is filling up my ass
3389,1,With your other finger only insert your pinky
1043,0,You should try magnesium and vitamin B2 if you haven't already. There is some decent research suggesting that they help
105,1,Sadly lost the stilts but can still give you a piggy back ride. Practically the same
3222,1,I'll talk to u in a sec after I'm done.
1028,0,Are you big into partying?
692,0,I’m in the states 😆
38,0,Yeah that’s me hahahaha the young Kanye
3308,1,Babe send more
1909,0,"he's doing jazz sax at uni, not sure how good he is though"
3014,1,"Please, I will, keep sucking my cock"
3289,1,Me: I’m not letting you see my dick till I see that little coochie that you won’t be hiding from me much longer
3240,1,Me: Well come see me
3168,1,"Your chest, mmhm... Lickable, Your abs... I lick them tooo"
110,0,Sorry I haven’t checked Tinder in a minute haha but if I go off of yesterday I’d probably say the end of yesterday. I got some work done I was pushing off. Finally felt productive lol
2759,1,😜
710,0,So did u leave the stove on?
3194,1,oh yeah...
3218,1,Aaargh... Mhmmmm
319,0,Well we matched on Harry lol what’s ur fav song
3137,1,Hey ;)
847,0,"Exactly! I think if I were to do college again I’d try some more creative stuff tho, some of the work I see Some people do is so cool"
3540,1,Only if you want me to be.
2844,1,"nice, usually only law students make bad law jokes lol"
2894,1, are you available to hang out later
1593,0,i'm sticking around uni for a while 😸
3309,1,Looks like it’s laundry day huh? :p
1506,0,interesting choice
1699,0,are you studying politics or something
2052,1,nice crown
3270,1,Okay
276,0,I think the deposit was lost when Stian rode a penny board into the wall LOL
3055,1,<pussy moistening>
3513,1,and then i would slowly speed it up
503,0,That’s what I’m drinking tonight
3479,1,And cuddle me after all this rough lovings.
2770,0,"yep, but it's pretty good anyway"
651,0,Such a mood
2740,0,i've played a whole heap of instruments but i completely suck at them all except the uke
534,0,Bet but it’s only fair that I get to use your shoulders sometimes too
683,0,Autocorrect
567,1,"The best picnic ever ofc. Wine, grapes, and the best charcuterie plate u could ask for"
991,1,Is it a dealbreaker that I cant whistle
1536,0,obesity
111,1,I’m curious what was your favorite part of yesterday?
1719,0,so you're from brisbane?
3242,1,Me: Yeah I’m not actually going to San Diego LOL
3387,1,If you have to get lube or use your spit and get yourself wet down there
52,1,Natalie Natalie Natalie
3273,1,I could just tell you liked to dress up and ride ponies. Am I good or what
23,1,Hmm my guess is 4’11 with 6’11 energy
531,0,The David Dobrik one?
1399,0,he looks pretty cosy in his scarf
74,1,Gimme your number for ease?
1457,0,are you drunk or something?
509,1,It’s alright we can just practice then
2821,0,have you heard of symphonic metal? a friend of mine likes it...
2751,0,i heard jack white was on it
2370,0,i have to be really careful now because i talked about siberia and she thought that was a country
2246,0,haha yeah he's made so many cool records
2915,1, your eyes are like shining stars i could get lost in them forever 
1441,0,wbu?
3165,1,Your such a turn on;)
1925,0,hence the ai thing
3422,1,Or when you're bent over my bed
626,1,What’s your best pickup line
2744,1,"cool, what's your band's name"
1751,1,"haha he's killer
it's not actual croquet altho we did watch a few rounds, it's more of a festival with food trucks and some croquet lawns"
3036,1,"T-shirt and jeans, bare feet, red pedicure."
475,0,Who should we kill
1257,0,Hey we have a lot in common
1615,0,idk
716,1,❤️❤️❤️
2990,1,I wish I could take you with me to paradise.
2585,1,your last photo is very enlightening
3090,1,"Turn over, Ima eat your ass."
421,1,Let’s go halves on a baby
2949,1,I wish I could work alongside you and take breaks to steal kisses when no one is looking.
3051,1,Can you imagine my hands gliding across your skin?
2302,0,or a dipshit
3334,1,I want to fill you up and make you scream ;)
3220,1,Great.. ;)
2962,1," I would feel much better if I could spend some time with you, and see that beautiful smile of yours    "
1312,0,I usually watch the american one but I've been getting into the international recently. Show got killed a little bit for me when I learned it was fake though
1235,0,?*
574,1,Hey 😉
1526,0,nah volunteering
1511,0,nah i'm doing a science degree
281,0,It just gets so tiring 😞
2980,1,I could use a pick-me-up from a gorgeous someone like you.
831,1,Well hmu with ur snap and one day it’ll work out
2280,0,do you live in st kilda?
727,0,Even if we can’t do it all 2 4 lokos and Chuck E. Cheese sounds like a win to me
3138,1,Hey.
2555,0,"in storage i think, but it exists"
3366,1,I started eating you out very gently
2147,0,data projectors live to spite humans
2565,0,so not fair! which uni do you go to?
1790,0,"gambling is such a downward spiral, it's a mental illness"
1998,0,you like maths then
2454,0,"i went through all of that after year 12 as well, except with umat"
3241,1,San Diego? Hmm
468,0,Witch
3425,1,You can move the panties to the side
1760,0,"yep that was when she was younger, she's fatter and more demented now"
2741,1,well it took long enough lol
132,1,I see that UW dorm bed lol which dorm did u stay in?
978,0,I aspire to break into the industry some day
708,0,Haha no she hasn’t made one yet either
2549,1,cool pineapple 🍍
3219,1,How u feel baby girl;)
3179,1,Ah it's great. I want fuck your mouth for a bit ;) As you look into my eyes.
3263,1,Bought to start spin class… Ttyl :*
2191,0,fuck that's a lot of red wine
3132,1,Ramming my cunt with this candle like a sex freak
2470,0,"the ptero/pegasus line is odd, FYI"
3518,1,I would love to fuck you with your toys
2269,1,favourite thing from maccas?
3325,1,Maybe just a little 🙂
462,0,Marvins room hrs
1014,0,I suck at smash but what makes you think you stand a chance at jeopardy
929,0,"Okay! What's your field? Could it be toxicology. I hope not 🥲💩. 
I'm working full time. No concrete plans to go back to school for a while. Working at a Service Desk for an insurance company"
3298,1,Ok now your turn
1870,0,why are you advertising a tattoo parlour?
1479,0,*sturt
166,1,Let’s make a movie
2618,0,"there aren't many swedish restaurants, at least in my end of town"
1718,0,haha yep
480,0,Pretty boring
1103,1,"Ilana, I understand it can be I intimidating to talk to someone as attractive as myself but I am not sure how we can figure out if we are soilmates if we dont speak."
3192,1,mhmm?
1178,0,Sorry to disappoint
2576,1,is that an italian greyhound?
1780,0,"nah, i'm on uni holidays"
2157,0,cae?
3455,1,I'm going to hold your hands down and peel your pussy lips apart so I can lick your clit and stick my tongue inside you. Then when you are dripping wet I'm going to push my hard dick into your tight pussy as deep as I can.
1485,0,ha yeah they are
3195,1,I plunge my tongue in your wet hole. Ahhh it's so beautiful.
561,0,One day
2595,0,"biology, life sciences"
1852,0,weimaraner
2959,1," I wish I could share a sweet treat with you, like a box of chocolates or a chocolate cake    "
960,0,How has your week been?
2425,0,um i haven't quite decided...maybe pathology or anatomy
685,1,You have the most snatched waist I’ve ever seen
1712,1,i had some meatmother and mr claws and a tin of ice cream too 😸🍦
1641,0,ahh right
3453,1,"My cock gets so hard when i think about fucking you, kissing your neck and pulling your nipples hard."
1628,0,thanks
2474,0,"probably, i have no idea what i want/am looking for"
3543,1,He:So come sit on my face
3534,1,I want to go all night
2411,0,hercules had a pegasus
3265,1,Lol.. spin class
3285,1,Me: You want to see my dick don’t you. You want to taste it
1807,0,ruyton
2779,0,yeah mom's an expat
2112,0,i meant in the photo
2857,0,we make a lot of jokes about this guy's love for goats
981,0,You have any plans for thanksgiving?
3352,1,"Bending you over the kitchen island and fucking you from behind, that's the best position"
1863,1,"why thank you, what do you listen to?"
2123,0,"didn't know they were that old, will have a listen 🎧"
1278,0,I was kidding about the floss we can do something normal
3063,1,Good girl. Now take your middle finger and ease it between your pussy lips.
393,1,Wowwwww so I’m not your favorite 😞
2942,1,"I wish I could stay up all night talking to you, but I have to be responsible and get some rest for work."
2679,0,*r u
3262,1,Nope belligerent after xs lol
550,0,It’s alright your insta bio will look 🔥🔥
118,0,Hey how’s it going haha what’s the coolest thing you’ve done in quarantine so far
2808,1,is it a golden retriever? mine's name is honey
2564,0,we had to remember the periodic table up to 36 in 1st year chem
3355,1,Sounds perfect to me:) what're you doing tomorrow?
2880,0,right
3551,1,"I'll make you shake, that's such a turn on for me"
2384,0,"i don't judge spelling haha, grammar's another story"
875,1,Let’s get married for tax purposes
2599,0,haha i'm 3rd this year
2271,0,chicken nuggets + the little cheeseburger
1387,1,😺
2032,0,okay well not exactly
141,1,Are we about to kiss right now 😳
3175,1,Yeah;)
3052,1,Your hands are rough (giggles) and strong and manly.
2693,0,"i read about it in rolling stone, you ser"
2482,0,they exist in melbourne?
2977,1,Can I have a sprinkle of your magic seasoning?
2625,0,"it's a fine name, but it could be something else, like a distant relative's name"
786,0,Phew thought it might be a deal breaker
3082,1,"How’s my pussy, baby?"
1687,0,wow that's good
3451,1,Tell me how baby
2552,1,"yep, she saw one in the dentist's office and thought it was cool"
3221,1,U close to cumming?
2115,1,well alcohol is expensive... haha EDM? i'm more indie rock/pop but that's not really for dancing
1901,0,epiphone?
3299,1,I already showed you my chest. 😉
1642,0,it says on your bio
3332,1,Mhmmm ;) and then I'm going to turn you over and put my hard cock deep inside you ;)
1381,0,How much did u make on the textbooks?
1658,0,not just then! see the thing about the clump of dog hair
972,0,The secret is a full stick of butter
2801,1,"nice, couldn't find slave labour at home?"
2049,0,"they drive on the other side, right?"
2947,1,I would rather spend my time getting to know you and exploring our shared interests.
51,1,U tryna link?
3528,1,Could you please....
1048,1,Currently looking more for friends with sexual tension hahaha
3266,1,How was spin class boo. I can’t imagine that you’re even more sexy now
769,0,Yeah! Next winter I’ll be all done sadly
1523,0,vce summer school mostly for disadvantaged students
993,1,Melanie you are absolutely killing it with the hats
1886,0,vomit
32,0,Brownies are my love language
2996,1,I'm hoping you can teach me how to spice things up in the kitchen.
2039,0,and why is it so stressful?
266,1,Ah then no I have not tasted tiddy milk 😂
2948,1,I wish I could take you to the movies with me and introduce you to my family.
370,1,You can borrow my stilts anytime 🤝
1430,0,"3 years, i finish at the end of this year 🎉"
2413,0,"why, are you planning on acquiring an exotic pet?"
1720,1,"or as we sometimes call it, brisvegas :P"
1012,0,No worries I usually have them off too so I spend less time on this app hahaha
2072,0,why are you called postman?
1367,0,oatmeal is like 80 cents a pound
3393,1,Man I'm gonna have some fun with you
1068,0,How is your life going right now 1-10 hit me with it
3102,1,Lube up.
3473,1,I want to lay you down on the bed and take your panties off with my teeth inch by inch
1470,0,what do you do that requires so much time spent out of phone reception?
1395,0,like it? i don't have an opinion on lederhosen either way i was just asking if that is what the costume is
1277,0,Point is we should go on a date so I can teach you how to floss
3427,1,That's my girl
2700,1,what r u on this godforsaken app for? :)
12,1,"🙈 haha long time, whatchu been up to"
2226,0,a dart? isn't that like a cigarette
1482,0,how does the beer can tower work?
3054,1,<heart pounding>
2767,1,have you seen the kangaroo at unistore?
283,0,I’ll keep you updated on the great memories we make LMao
1100,1,Soilmates?
3373,1,Til you scream and slap the mattress with pleasure
1330,0,Well it looks like I'm going to have to cook you some spaghetti
1844,0,she doesn't really like it
1477,0,is that charles sturr
71,1,Meet outside alder in 10?
3333,1,And I'll kiss your neck and and slowly go in and out of you ;)
1977,0,i changed it but tinder's slow to update
917,0,God that sounds gross 🤮
3365,1,Until I kiss your body everywhere and spend some time caressing your breasts and neck
493,0,A bit wbu
2885,1,surely you must have a favourite *air guitar*
2439,0,you didn't like monash?
2258,0,"new york, the empire state"
779,0,"I’ve been watching some movies! I just watched Love, Simon and 13th this past weekend"
2785,0,then australia 🌍
1659,0,just then
1251,1,"Its settled, I would like to ask for your hand in marriage"
2505,1,dear god i hate selfies but my hair was cooperating today and i felt obliged to document it
2484,0,well i suppose if it's a place dedicated to smoking it's not so bad
3494,1,then i want to kiss all the way down the inside of your thighs
2889,1,do you feel like hanging out later
2314,0,i know cats need it
798,0,I must come clean the stilts are more of a wish than a reality 😞 a man can dream
3008,1,Please fuck me really hard
3257,1,Lol funny huh?
344,1,Let’s swap playlists and make guesses about each other’s personalities
2272,0,but those popping candy frozen thingos 😻
358,0,Those are soooo good Falling is a favorite of mine but also Meet me in the hallway and sign of the times
2331,0,they make lactose free milk
817,0,No crazy pick up line sorry :(
1117,0,Do you get a cut of the profits?
293,0,I hate these gifs
1527,0,it's good fun we've been bribing the small children with candy
3546,1,Repeatedly
583,1,Then you share something in common 🤪
3213,1,I lean forward as I fuck you and slowly kiss u again. You have me. I have no control..
3471,1,I'm going to rub my pussy thinking about you
2906,1,your smile is so contagious it makes my day brighter 
1296,0,Is the dodgeball you are referring to the movie or the game
1193,0,Are bars considered essential businesses
75,0,Okay cool
693,1,Nothing can separate us
3357,1,I wanna hold you up against the shower wall and kiss you all over your body
1374,0,What are u studying?
2943,1,I can't wait to work up a sweat at the gym and then come home to you for some post-workout fun.
1171,1,Why are the good ones always 5000 miles away?
3315,1,"I’m probably going to hurt you with my cock a little bit when I see you. Just a little, don’t worry we can still be friends afterwards. But yeah, I’m going to be a bit rude with your lil body"
2508,0,i'm going to assume it's the thing about smoking alcohol
3351,1,Good I would hope so
1125,0,People told me to watch the office and then all of the sudden two weeks have gone by and I've done nothing else
2181,0,but doges are the best
752,0,Going good! Wbu?
3438,1,That's what I want
2520,0,learn something knew everyday
2796,1,do you miss heart attack inducing american food?
3306,1,Oh yum I wanna ride that shit until your toes curl 😉
1065,0,Yeah that's absurd. I guess they can get away with it cause the area is so expensive.
943,0,"Slept pretty okay myself. Jogged on the treadmill yesterday so that's probably why. 
How did you sleep? 👴😁"
360,1,Whattt I’m super jealous I became a fan too late 😞
3232,1,What’s up pumpkin. I’m headed out to watch the game come meet up. I was sexy boy outside of xs the other night I should have just stolen you that night!
465,0,Who do u wanna choose?
3045,1,Should I pull on my nipples?
2998,1,"The mere thought of you is giving me a headache, but in the best way possible."
3223,1,Ok babe cum. My cock is pumping like crazy into u.. You are just in heaven waiting for your Pussy to release.. It's building up..Cum on baby cum for me.. Finger your Pussy hole.. Give me your cum all over my face ;)
2212,0,"uni, wbu?"
659,0,I hope you have a lot of airline miles
2986,1,I think you have a magical power to heal me with your smile.
175,0,I see u I respect that
3417,1,You're pulling my hair back so that my back arches just a bit so you can hit closer to my gspot when you're inside of me
1646,0,you had a moment thingo?
1814,0,croquet
202,1,You guessed the next line 😤 the Y is silent
2954,1,"I may not have everything figured out yet, but I do know that I want you in my life."
3260,1,Oops that was for Julie sorry
246,1,I have to do it in September lol
2002,0,if you're 3rd year i should probably congratulate you for not dropping out
1073,0,Thankfully I have a beautifully shaped head so I look forward to those days
1944,0,how are you?
3269,1,Hm I’ll see if I can find a picture
2029,0,"hahaha, i do science"
3288,1,Me: You already have some in your phone I’m sure
2964,1, I wish I could introduce you to my mom and show her how amazing you are    
1067,1,"Hey Sammy, you have a great smile!"
3043,1,Grab your titties.
1651,0,we have dark floors so there's always clumps of fur everywhere
2830,0,are you into strange violent video games
2466,0,specimen's i've seen are mostly 20 year old varieties
1806,0,near swinburne? i think i know the one
1321,1,Before we go on a date I have to know what the cardboard box looks like
1372,0,I know what u mean
3526,1,I was using my wand thinking about you fingering me with my plug in holding my wand to my Clit slowly pressing and easing off massaging me with the wand my hands tied above me so I was helpless to you as you made me squirt and cum and splash till you were satisfied
147,1,Feeling strong 7 vibes today but 3 is my normal
2724,0,and a friend of mine had the weirdest legends about kangaroos
3144,1,"Ah, so I have been told ;)"
2086,0,just honest
2826,0,i'm trying to get into med school
2993,1,The rhythm of your heart is music to my ears.
2016,0,"hi, not bad, how about yours?"
533,1,I’ll put you on my shoulders and be your stilts 👀
3311,1,It’s laundry day for me tho lol
1531,1,🍫🍫🍫
2221,1,hey that's a cool doge 🐶
1975,0,"nup, it's wordplay"
990,1,Halle how is your life going rn -10 to 10 hit me w it
758,1,"Save a horse, ride a cowboy (me)"
3268,1,Cartoon Network? How so? Lol!
1729,0,wax?
858,1,Ah my ideal first date would go something likeee
1583,0,oh wow nice
1466,0,path major
3116,1,And feather-lick my asshole. I love that.
3413,1,Ugh such a tease
1366,0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
559,0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
445,1,Perfect imma have the best wedding dance
717,1,You caught my attention
1865,0,where are you studying that?
2893,1,do you feel like getting dinner tonight
1037,0,Also I just saw your 5th photo for the first time and it made me laugh really hard
3025,1, I'm cumming!
1785,0,well it was only wednesday night
3316,1,Me: Don’t worry you’ll like it
2931,1, your passion for life is so infectious its so inspiring 
3057,1,"Now, I need you to take your right hand and start playing with yourself."
1357,0,I feel that I was making some cool shit at the beginning of the year
1147,1,God is always watching
2953,1,"I wish you were here to help me clean up, or distract me with a sweet kiss."
3346,1,I want to make you scream while I suck on your breasts
1585,0,"yeah, at melbourne"
3323,1,"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)"
2053,1,greetings 😸
3033,1,You tell me!
2333,1,🍦🍦🍦
602,0,Okay Frank is my #1 haha everything is the best
3435,1,Ok
353,0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
1190,0,As a beverage isnt coffee inherently inedible
3402,1,Maybe a little longer
3466,1,What does your neck taste like?
1746,0,"haha, it's been good, heading to royal croquet later"
2850,0,well he took a bad selfie that didn't get his ears in the shot...
237,1,😴 Was the last time with Shaosong
3107,1,Shut up I’m tickling my ass with the fat head. heheh
2261,0,"no, my mom is not a fan of the soviets, i'd love to go but $$$"
326,0,Good conversation
2529,0,"""violent masturbator"" is probably not going to convince anyone to swipe right"
3253,1,Well*
3431,1,Haha just wait until I have you bent over and I reach around to rub your clit
3521,1,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
1334,0,No one has attempted to steal my spaghetti for fear of instant and fatal retribution
3505,1,and slowly close in on your sexy clit
2544,0,i don't think they allow that...are you going thru the black market? i hear hearts in demand
3467,1,"Hmm I'm not sure, I guess you'll have to tell me"
1507,0,welcome to NY
1089,0,Not too bad. Whats your secret to staying above 0 in these trying times
434,0,Add me bb
2311,0,all that sugar and taurine
3069,1,"Lick your finger, how is it?"
2887,1,are you interested in going out sometime
1115,0,"Are you named after the water bottle brand, or is it named after you???"
2752,1,lazaretto is a masterpiece
2434,0,i'm 3rd year this year and sitting the gamsat again
113,1,Aw thank you ❤️❤️ I love your wings
1221,0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
885,1,Perfect I can reach the high shelves and you can get the low ones
2151,0,is that the lane off degraves?
407,1,If you ride my shoulders we can beat 7’ 😂
2794,0,haha yep it's pretty good normally
2987,1,I'd much rather spend my time getting dirty with you.
2061,0,"yeah it was alright, had some strange conversations with these guys outside the window..."
3189,1,I want to kiss you first and feel your tounge on mine.
3099,1,OMG I can’t believe I’m doing this. It’s HUGE!
209,1,Wanna come over tonight?
3094,1,I am serious about the fucking.
1899,0,dude you have a picture of your face plastered on a cat's
2970,1, I wish I could dance with you at the concert and feel the music together    
1801,0,hiking? as in going off into the bush and wandering about
3447,1,"I will figure out what makes you tick, don't worry."
1846,0,what kind of dog?
261,0,Peach is 🔥 also u reminded me I was going to plan Soju pong
3324,1,You like em?
3181,1,It's a beautiful sight..
3040,1,How will you know?
642,1,Brienna you made my heart skip a beat so u better pay my medical bills
680,1,Like damn u gifted
1815,0,if you're in pain
1702,0,📰<💻
2935,1,your empathy is a rare gift its so comforting 
128,0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
2298,0,trollzz
1124,0,I have been told I would line parks and rec but am scared that the same thing is going to happen to me
3109,1,You are funny. Keep going.
3460,1,"Then come over and fuck me right now ""daddy"""
2917,1, your charisma is intoxicating im under your spell 
483,0,We were right everytime 😤
773,0,Wbu?
1761,0,"awwww, puppy raiser!"
3184,1,"I push your tender meat out of my mouth, and lay down..."
2988,1,I'd love to hold hands and stroll through the park with you.
2231,1,🎸🎤
115,0,Need to see if ur on aux 👀
1317,1,What do I have to put on my application for trivia partner
